Search_method Problem Max_evals Run Score
uniform_crossover_tweak knapPI_16_20_1000_4 10000 1 2575N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 2 2582N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 3 2886N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 4 2682N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 5 2538N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 6 2893N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 7 2505N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 8 2395N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 9 2539N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 10 2502N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 11 2893N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 12 2593N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 13 2651N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 14 2557N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 15 2731N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 16 2489N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 17 2509N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 18 2542N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 19 2213N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 20 2513N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 21 2886N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 22 2390N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 23 2597N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 24 2675N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 0 -38954N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 1 -35719N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 2 -36980N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 3 -39901N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 4 -37953N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 5 -38527N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 6 -39493N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 7 -37979N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 8 -38461N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 9 -35832N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 10 -37634N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 11 -37774N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 12 -36722N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 13 -38602N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 14 -38260N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 15 -36183N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 16 -40013N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 17 -37961N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 18 -38053N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 19 -37550N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 20 -35558N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 21 -37409N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 22 -37008N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 23 -38317N
uniform_crossover_tweak knapPI_11_200_1000_4 10000 24 -40083N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 0 -22650N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 1 -23403N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 2 -21408N
